,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
30,98.586,0.32,0.73,0.03,0.26,0.0,0.0,0.0,0.02,0.02,30.0,0.0,865.0,24.0,24.0,600.0,0.0,30.0,30.0,30.0,1740.0000000000002,865.0,60.0,395.0
31,98.414,0.37,0.78,0.02,0.27,0.0,0.0,0.0,0.0,0.11,30.0,0.0,865.0,24.0,24.0,600.0,0.0,30.0,30.0,30.0,1270.0,865.0,60.0,393.0
32,98.511,0.35,0.82,0.0,0.25,0.0,0.0,0.0,0.03,0.0,30.0,0.0,865.0,24.0,24.0,600.0,0.0,30.0,30.0,30.0,825.0,865.0,60.0,391.6822920976812
33,98.575,0.37,0.72,0.02,0.24,0.0,0.0,0.0,0.02,0.02,30.0,0.0,865.0,24.0,24.0,600.0,0.0,30.0,30.0,30.0,1740.0000000000002,865.0,60.0,389.0
34,98.583,0.32,0.63,0.08,0.21,0.0,0.0,0.0,0.06,0.1,30.0,0.0,865.0,24.0,24.0,600.0,0.0,30.0,30.0,30.0,610.0,865.0,60.0,383.4356516006301
35,98.607,0.35,0.77,0.02,0.21,0.0,0.0,0.0,0.0,0.0,30.0,0.0,865.0,24.0,24.0,650.0,0.0,30.0,30.0,30.0,825.0,865.0,60.0,362.3287556253409
36,98.469,0.35,0.74,0.0,0.3,0.0,0.0,0.0,0.0,0.1,30.0,0.0,865.0,24.0,24.0,650.0,0.0,30.0,30.0,30.0,1270.0,865.0,60.0,369.0
37,98.613,0.34,0.74,0.0,0.26,0.0,0.0,0.0,0.0,0.02,30.0,0.0,865.0,24.0,24.0,650.0,0.0,30.0,30.0,30.0,1740.0000000000002,865.0,60.0,363.5470545982563
38,98.367,0.36,0.7,0.09,0.26,0.0,0.0,0.0,0.08,0.12,30.0,0.0,865.0,24.0,24.0,650.0,0.0,30.0,30.0,30.0,610.0,865.0,60.0,366.60513974499145
39,98.61,0.33,0.75,0.02,0.21,0.0,0.0,0.0,0.0,0.03,30.0,0.0,865.0,24.0,24.0,650.0,0.0,30.0,30.0,30.0,825.0,865.0,60.0,359.23835947119176
40,98.34,0.38,0.7,0.11,0.29,0.0,0.0,0.0,0.06,0.08999999999999998,30.0,0.0,865.0,24.0,24.0,650.0,0.0,30.0,30.0,30.0,610.0,865.0,60.0,370.8222223094239
41,98.484,0.33,0.76,0.03,0.26,0.0,0.0,0.0,0.0,0.1,30.0,0.0,865.0,24.0,24.0,650.0,0.0,30.0,30.0,30.0,1270.0,865.0,60.0,360.2681559980949
